page,product_id,brand,product_name,model_code,price,feature,cpu,display_size,memory,storage_detail,od,gpu,weight,warranty,os,wifi,product_url
2,QHPB0085,HP 惠普,255 G10 15.6吋 R3 商務筆電,255,15900,Wi-Fi 6 +Bluetooth 5.3,AMD Ryzen 3 7330U,15.6 FHD(1920x1080),8G*1(DDR4 3200),M.2 512G SSD,NA,AMD Radeon,1.74kg,一年保,Win11,,https://www.sanjing3c.com.tw/prod-QHPB0085.html
2,QROTU0057,ASUS 華碩,FA506NCG-0102B7445HS 15.6吋 R7 RTX3050 電競筆電｜石墨黑,FA506NCG-0102B7445HS,25999,單區RGB多彩鍵盤/HDMI+Type-C with Display Port 支援雙螢幕輸出 / 薄邊框(軍規電競)/ MIL-STD-810H 軍規測試/支援2個M.2 Pcie SSD 擴充Slot,AMD Ryzen 7 7445HS Processor 3.2GHz,15.6吋(薄邊框),FHD (1920 x 1080) 16:9/144Hz/IPS/16GB DDR5-5600 SO-DIMM,,,NVIDIA GeForce RTX 3050 4GB GDDR6,2.30 Kg,2年,Windows 11 Home,TUF M3 P309 電競滑鼠,https://www.sanjing3c.com.tw/prod-QROTU0057.html
2,QCGV0021C,ASUS 華碩,X1605VA-0241K13420H 16吋 i5 輕薄筆電｜搖滾黑,X1605VA-0241K13420H,19999,支援PD充電/可180度開合/軍規認證 / 可升級記憶體,Intel  i5-13420H Processor 2.1 GHz,16吋,,512GB M.2 NVMe PCIe 4.0 SSD可換不可加裝,無,Intel UHD Graphics,1.88KG,2年保固/首年一次完美保固,Windows 11 HOME,Wi-Fi 6E/Bluetooth 5.3,https://www.sanjing3c.com.tw/prod-QCGV0021C.html
2,QROST0031,ASUS 華碩,G814PP-0034C8940HX-NBL 18吋 R9 RTX5070 電競筆電,G814PP-0034C8940HX-NBL,57999,ROG 信仰燈 (A件) + RGB環繞式燈效 (D件)/快拆升級免工具,AMD Ryzen 9 8940HX Processor 2.4GHz,18吋,,,,NVIDIA GeForce RTX 5070 8GB GDDR7,3.2Kg,2年,Windows 11 Home,Wi-Fi 7,https://www.sanjing3c.com.tw/prod-QROST0031.html
2,QMSCR051,MSI 微星,B2RWFKG-027TW 15.6吋 C7-240H RTX5060 電競筆電,B2RWFKG-027TW,34900,4區RGB全彩背光電競鍵盤搭配WASD醒目熱鍵,Intel Core 7 240H,15.6吋,,,,"NVIDIA GeForce RTX 5060 Laptop GPU, GDDR7 8GB",2.1 kg,2年,Windows 11 Home 家用版,,https://www.sanjing3c.com.tw/prod-QMSCR051.html
2,QCGZ0039A,ASUS 華碩,UX3405CA-0073S255H 14吋 U7 輕薄AI筆電 白霧銀,UX3405CA-0073S255H,42999,14.9mm 極致輕薄 / PD充電/背光鍵盤 /軍規認證/全機金屬/可180度開合,Intel Core Ultra 7 Processor 255H 2.0 GHz,14吋,,1TB M.2 NVMe PCIe 4.0 SSD,無,Intel Arc Graphics,1.2KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 7+Bluetooth 5.4,https://www.sanjing3c.com.tw/prod-QCGZ0039A.html
2,QCGV0072,ASUS 華碩,M5506WA-0058K365H 16吋 OLED 輕薄筆電 極致黑,M5506WA-0058K365H,34999,PD充電/可180度開合/75WHrs大電量/軍規認證,AMD Ryzen AI 9 365 Processor 2.0GHz,16吋,,512GB M.2 NVMe PCIe 4.0 SSD,無,AMD Radeon 880M Graphics,1.5KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 6E (802.11ax)+Bluetooth 5.3,https://www.sanjing3c.com.tw/prod-QCGV0072.html
2,QROTU0038,ASUS 華碩,FA706NFR-0042B7435HS 17.3吋 R7 RTX2050 電競筆電,FA706NFR-0042B7435HS,23999,IPS Level/單區RGB多彩鍵盤/HDMI+Type-C with Display Port 支援雙螢幕輸出 / MIL-STD-810H 軍規測試 / 支援2個M.2 Pcie SSD 擴充Slot / 144Hz 薄邊框設計,AMD Ryzen 7 7435HS Mobile Processor,17.3 FHD (1920 x 1080) 16:9 144hz,16GB DDR5-4800(2x SO-DIMM slots),512GB PCIe 4.0 NVMe M.2 SSD,NA,NVIDIA GeForce RTX 2050 Laptop GPU,2.60 Kg Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5.3,,Windows 11 Home TUF M3 電競滑鼠,,https://www.sanjing3c.com.tw/prod-QROTU0038.html
2,QROTU0047,ASUS 華碩,TUF FA808UM-0031A260H 18吋 R7 RTX5060 電競筆電,TUF,42999,Wi-Fi 6(802.11ax)+ Bluetooth 5.3 / 支援Type-C PD 充電,AMD Ryzen 7 260 Processor 3.8GHz,18吋,,,,NVIDIA GeForce RTX 5060 8GB GDDR7(具備MUX獨顯直連),2.60 Kg,二年,Windows 11 Home,TUF M3 電競滑鼠,https://www.sanjing3c.com.tw/prod-QROTU0047.html
2,QROTU0049,ASUS 華碩,TUF FA808UH-0021A260H 18吋 R7 RTX5050 電競筆電,TUF,37999,台積電4奈米/支援Type-C PD 充電/Wi-Fi 6+ Bluetooth 5.3,AMD Ryzen 7 260 Processor 3.8GHz,18吋,,,,NVIDIA GeForce RTX 5050 8GB GDDR7(具備MUX獨顯直連),2.60 Kg,二年,Windows 11 Home TUF M3 電競滑鼠,,https://www.sanjing3c.com.tw/prod-QROTU0049.html
2,QHPS0047,HP 惠普,超品 Laptop 15-fr0003TU 15.6吋 i7 輕巧效能筆電｜冰洞藍,超品,24900,"輕薄雙風扇, 高效能大尺吋機型，IPS廣視角窄邊框螢幕",Intel Core i7-13620H,15.6吋,,,,Intel UHD Graphics,1.65kg,第一年國際有限 + 第二年台灣保固(包含零件與人工)/第一年台灣本島到府收送,Windows 11 HOME,,https://www.sanjing3c.com.tw/prod-QHPS0047.html
2,QCRAN046,Acer 宏碁,ANV15-52-5661 15.6吋 i5 RTX5060 電競筆電,ANV15-52-5661,36900,雙風扇+三導熱管設計 / NitroSense一鍵掌控 Copilot key,Intel Core i5-13420H,15.6吋 FHD 1920x1080 IPS 165Hz 霧面,16GB DDR4,,,RTX5060-8G-GDDR7,2.113kg,台灣2年,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRAN046.html
2,QCRNL007,Acer 宏碁,NL16-71G-516L 16吋 i5 RTX4050 電競筆電,NL16-71G-516L,27900,1.95kg輕量設計,Intel Core i5-13420H,16吋,,,,NVIDIA GeForce RTX 4050 6G-GDDR6,1.95kg,台灣2年,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRNL007.html
2,QGBAE011,GIGABYTE 技嘉,AERO X16 1VH93TWC94AH 16吋 R7 RTX5060 AI電競筆電｜太空灰,AERO,40900,支援 MUX Switch 獨顯直連技術，全新GiMATE AI內建軟體六大功能 / 雙12V強力風扇/四向出風/GiMATE 散熱動態調整 0db靜音體驗,AMD Ryzen Al 7 350,16吋 16:10 IPS WQXGA (2560×1600) 165Hz,16GB DDR5 5600,,,NVIDIA GeForce RTX 5070 Laptop GPU 8GB GDDR7,1.9 kg,兩年保固,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QGBAE011.html
2,QMSVE016,MSI 微星,Venture A14 AI+ A3HMG-016TW 14吋 R5 商務筆電,Venture,26999,Wi-Fi 6E + Bluetooth v5.3,AMD Ryzen AI 5 340 / 6核心,14吋,,512GB SSD,NA,AMD Radeon,1.7 kg,2年(全球1年),Win11 Home 家用版,,https://www.sanjing3c.com.tw/prod-QMSVE016.html
2,QCGV0023,ASUS 華碩,S5504VA-0132K13500H 15.6吋 I5 EVO 筆電 午夜黑,S5504VA-0132K13500H,25999,2.8K OLED 16:9 Panel / PD充電/抗菌處理技術/ 13代 EVO 機種 / 電池75WHrs /FingerPrint指紋辦識// 背光鍵盤/ A件金屬,"Intel i5-13500H 2.6GHz(18M,upto4.7GHz,12 cores, 16 Threads)",15.6吋 2.8K (2880 x 1620) 120HZ OLED 16:9,16GB LPDDR5 on board,512GB M.2 PCIe 4.0  SSD,無,Intel Iris Xe Graphics,1.7KG,2年保固/首年一次完美保固/附包包/滑鼠,Windows 11 Home,Wi-Fi 6E  (802.11ax+Bluetooth 5.0 (Dual band) 2*2,https://www.sanjing3c.com.tw/prod-QCGV0023.html
2,QCGV0051E,ASUS 華碩,S5606CA-0058B285H OLED 16吋 U9 EVO筆電｜迷霧藍,S5606CA-0058B285H,44999,Evo認證 /整合Intel Arc顯示晶片/專屬 Copilot 鍵/軍規認證/全機金屬 / 單區 RGB 背光鍵盤與加大觸控板/PD充電 /可180度開合 / 75WHrs大電量,Intel Core Ultra 9 Processor 285H 2.9 GHz,16吋 3K (2880 x 1800) OLED 16:10,32GB LPDDR5X on board,1TB M.2 NVMe PCIe 4.0 SSD,無,Intel Arc Graphics,1.5KG,2年保固/首年一次完美保固,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QCGV0051E.html
2,QGBAE008,GIGABYTE 技嘉,AERO X16 1WH93TWC64DH 16吋 R7 RTX5070 AI電競筆電｜幻月白,AERO,49900,支援 MUX Switch 獨顯直連技術，全新GiMATE AI內建軟體六大功能 / 雙12V強力風扇/四向出風/GiMATE 散熱動態調整 0db靜音體驗,AMD Ryzen Al 7 350,16吋 16:10 IPS WQXGA (2560×1600) 165Hz,32GB (16GB*2) DDR5 5600,PCIe Gen4 SSD 1TB,N/A,NVIDIA GeForce RTX 5070 Laptop GPU 8GB GDDR7,1.9 kg,兩年保固,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QGBAE008.html
2,QGBAE013,GIGABYTE 技嘉,AERO X16 1VH93TWC64AP 16吋 R7 RTX5060 AI筆電 太空灰,AERO,42900,支援 MUX Switch 獨顯直連技術，六大功能打造最佳玩家體驗,AMD Ryzen Al 7 350,16吋,,,,NVIDIA GeForce RTX 5060 Laptop GPU 8GB GDDR7,1.9 kg,兩年保固,Windows 11 PRO,,https://www.sanjing3c.com.tw/prod-QGBAE013.html
2,QROST0023,ASUS 華碩,G614PR-0044C8940HX-NBL 16吋 R9 RTX5070Ti 電競筆電【福利良品】,G614PR-0044C8940HX-NBL,57999,ROG 信仰Logo (A件) + 前置式RGB燈效條 (D件) / 4-Zone RGB鍵盤 / Type-C 充電/ Wi-Fi 6,AMD Ryzen 9 8940HX Processor 2.4GHz,"16吋 2.5K (2560 x 1600, WQXGA)IPS 16:10 165Hz",16GB DDR5-5200 SO-DIMM,1TB PCIe 4.0 NVMe M.2 Performance SSD,NA,NVIDIA GeForce RTX 5070Ti Laptop GPU 12GB GDDR7,2.5Kg,2年,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QROST0023.html
2,QROTU0045,ASUS 華碩,FX608JM-0041A13450HX 16吋 i5 RTX5060 筆電,FX608JM-0041A13450HX,38599,Wi-Fi 6(802.11ax)+ Bluetooth 5.3,13th Gen Intel Core i5-13450HX Processor 2.4 GHz,16吋,,512GB PCIe 4.0 NVMe M.2 SSD,NA,NVIDIA GeForce RTX 5060 Laptop GPU 8GB GDDR7,2.20 Kg,二年,Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QROTU0045.html
2,QCGV0062,ASUS 華碩,X1502VA-0221B13620H 15.6吋 i7 筆電 午夜藍,X1502VA-0221B13620H,22999,升級13代H處理器/支援PD充電 / 可升級記憶體/可180度開合/TUV護眼認證/抗菌處理技術,升級13代H處理器/支援PD充電 / Intel Core i7-13620H Processor 2.4 GHz,15.6吋 FHD (1920 x 1080) IPS 16:9,16GB DDR4 on board (1 empty slot),512GB M.2 NVMe PCIe 4.0 SSD 可換,無,Intel UHD Graphics,1.7 kg,2年(首年完美保固),Windows 11 Home,,https://www.sanjing3c.com.tw/prod-QCGV0062.html
2,QCRFG060,Acer 宏碁,SFG16-74-58QT 16吋 U5 OLED AI筆電,SFG16-74-58QT,35900,Copilot+PC/Intel Core Ultra 200V系列處理器 / 影音視訊兩用觸控板/全天候長效續航力,Copilot+PC/Intel Core Ultra 200V系列處理器 / Intel Core Ultra 5 processor 228V,16吋 WUXGA+ 2048x1280 OLED 鏡面,32GB LPDDR5X(Onboard),,,Intel ARC Graphics 130V,1.52 kg,台灣兩年,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRFG060.html
2,QCRPH0049,Acer 宏碁,PHN16-73-965Q 16吋 U9 RTX5070Ti 電競筆電,PHN16-73-965Q,63900,3D金屬風扇+液態金屬散熱膏提高散熱效率,Intel Core Ultra 9 275HX,16吋,,,,RTX 5070TI-12G-GDDR7,2.7 kg,2年保固,Windows 11,,https://www.sanjing3c.com.tw/prod-QCRPH0049.html
3,QNBLG029A,LG 樂金,Gram Pro 16吋 U7 OLED極致輕薄AI筆電｜星辰藍【福利良品】,Gram,51215,77W 超長待機/DolbyAtmos杜比全景聲,Intel  Core Ultra7 255H,16吋,,,,Intel Arc graphics,1.199 KG,2年保固,WINDOWS 11 HOME (64BIT),,https://www.sanjing3c.com.tw/prod-QNBLG029A.html
3,QCGV0021B,ASUS 華碩,X1605VA-0251K13620H 16吋 i7 輕薄筆電｜搖滾黑,X1605VA-0251K13620H,24999,可180度開合/軍規認證 / 可升級記憶體/支援PD充電,Intel Core  i7-13620H Processor 2.4 GHz,16吋,,512GB M.2 NVMe PCIe 4.0 SSD可換不可加裝,無,Intel UHD Graphics,1.88KG,2年保固/首年一次完美保固,Windows 11 HOME,Wi-Fi 6E (802.11ax)/Bluetooth 5.3,https://www.sanjing3c.com.tw/prod-QCGV0021B.html
3,QCGV0036C,ASUS 華碩,X1504VA-0411B1334U 15.6吋 i5 輕薄筆電 午夜藍【福利良品】,X1504VA-0411B1334U,17999,可升級記憶體/ 可以180度攤平/26項軍規認證/抗菌處理技術,Intel Core i5-1334U Processor 1.3 GHz,15.6吋,,512GB M.2 NVMe PCIe 4.0 SSD,無,最高支援 Intel Iris Xe (單條記憶體使用下顯示Intel UHD),2年(首年完美保固),"1.7 kg/沒有 附 包包 , 滑鼠",64 Bits Windows 11 HOME,,https://www.sanjing3c.com.tw/prod-QCGV0036C.html
3,QCGZ0034,ASUS 華碩,UX5406SA-0022W258V 14吋 U7 OLED筆電 暖煦白【福利良品】,UX5406SA-0022W258V,49999,搭載最新Intel Lunar Lake處理器/NPU up to 47 / 內建獨家Storycube AI軟體/1.1cm極致輕薄/最新Wi-Fi 7,搭載最新Intel Lunar Lake處理器/NPU up to 47 / Intel Core Ultra 7 Processor 258V 32GB 1.8 GHz,"14吋 3K (2880 x 1800) OLED 16:10 aspect ratio , 120Hz",32GB LPDDR5X on board,1TB M.2 NVMe PCIe 4.0 SSD,無,Intel Arc 140V GPU,1.2KG,2年保固/首年一次完美保固,Windows 11 Home,Wi-Fi 7 (802.11be)+Bluetooth 5.4,https://www.sanjing3c.com.tw/prod-QCGZ0034.html
